ABO	EKANS
CRESSELIA	CRESSELIA
CRIKZIK	KRICKETOT
CROCORIBLE	KROOKODILE
CROCRODIL	CROCONAW
CRUSTABRI	CLOYSTER
CRYPTERO	SIGILYPH
DARDARGNAN	BEEDRILL
DARKRAI	DARKRAI
DARUMACHO	DARMANITAN
DARUMAROND	DARUMAKA
DEBUGANT	TYROGUE
DEFLAISAN	UNFEZANT
DELCATTY	DELCATTY
DEMANTA	MANTINE
DEMETEROS	LANDORUS
DEMOLOSSE	HOUNDOOM
DEOXYS	DEOXYS
DIALGA	DIALGA
DIAMAT	ZWEILOUS
DIMORET	WEAVILE
DINOCLIER	SHIELDON
DODRIO	DODRIO
DODUO	DODUO
DONPHAN	DONPHAN
DOUDOUVET	COTTONEE
DRABY	BAGON
DRACAUFEU	CHARIZARD
DRACKHAUS	SHELGON
DRACO	DRAGONAIR
DRACOLOSSE	DRAGONITE
DRAKKARMIN	DRUDDIGON
DRASCORE	DRAPION
DRATTAK	SALAMENCE
DYNAVOLT	ELECTRIKE
ECAYON	FINNEON
ECRAPINCE	CORPHISH
ECREMEUH	MILTANK
ECTOPLASMA	GENGAR
ELECSPRINT	MANECTRIC
ELECTHOR	ZAPDOS
ELECTRODE	ELECTRODE
ELEKABLE	ELECTIVIRE
ELEKID	ELEKID
ELEKTEK	ELECTABUZZ
EMBRYLEX	LARVITAR
EMOLGA	EMOLGA
EMPIFLOR	VICTREEBEL
ENTEI	ENTEI
EOKO	CHIMECHO
ESCARGAUME	SHELMET
ESCROCO	KROKOROK
ETOURAPTOR	STARAPTOR
ETOURMI	STARLY
ETOURVOL	STARAVIA
EVOLI	EEVEE
EXCELANGUE	LICKITUNG
FANTOMINUS	GASTLY
FARFADUVET	WHIMSICOTT
FARFURET	SNEASEL
FERMITE	DURANT
FEROSINGE	MANKEY
FEUFOREVE	MISDREAVUS
FEUILLAJOU	PANSAGE
FEUILOUTAN	SIMISAGE
FEUNARD	NINETALES
FEURISSON	QUILAVA
FLAGADOSS	SLOWBRO
FLAMAJOU	PANSEAR
FLAMOUTAN	SIMISEAR
FLOBIO	MARSHTOMP
FLORAVOL	SKIPLOOM
FLORIZARRE	VENUSAUR
FLOTAJOU	PANPOUR
FLOTOUTAN	SIMIPOUR
FORETRESS	FORRETRESS
FOUINAR	FURRET
FOUINETTE	SENTRET
FRAGILADY	LILLIGANT
FRISON	BOUFFALANT
FULGURIS	THUNDURUS
FUNECIRE	LITWICK
FURAIGLON	RUFFLET
GALEGON	LAIRON
GALEKID	ARON
GALEKING	AGGRON
GALIFEU	COMBUSKEN
GALLAME	GALLADE
GALOPA	RAPIDASH
GARDEVOIR	GARDEVOIR
GAULET	AMOONGUSS
GENESECT	GENESECT
GEOLITHE	BOLDORE
GERMIGNON	CHIKORITA
GIGALITHE	GIGALITH
GIRAFARIG	GIRAFARIG
GIRATINA	GIRATINA
GIVRALI	GLACEON
GLOUPTI	GULPIN
GOBOU	MUDKIP
GOELISE	WINGULL
GOINFREX	MUNCHLAX
GOLEMASTOC	GOLURK
GOUPIX	VULPIX
GRAHYENA	MIGHTYENA
GRAINIPIOT	SEEDOT
GRANBULL	GRANBULL
GRANIVOL	HOPPIP
GRAVALANCH	GRAVELER
GRIKNOT	GIBLE
GRINDUR	FERROSEED
GRINGOLEM	GOLETT
GRODOUDOU	WIGGLYTUFF
GRODRIVE	DRIFBLIM
GROLEM	GOLEM
GRORET	GRUMPIG
GROTADMORV	MUK
GROTICHON	PIGNITE
GROUDON	GROUDON
GRUIKUI	TEPIG
GUERIAIGLE	BRAVIARY
HARIYAMA	HARIYAMA
HAYDAIM	SAWSBUCK
HEATRAN	HEATRAN
HELEDELLE	SWELLOW
HELIATRONC	SUNFLORA
HERBIZARRE	IVYSAUR
HERICENDRE	CYNDAQUIL
HEXAGEL	CRYOGONAL
HIPPODOCUS	HIPPOWDON
HIPPOPOTAS	HIPPOPOTAS
HO_OH	HO
HOOTHOOT	HOOTHOOT
HYPNOMADE	HYPNO
HYPOCEAN	SEADRA
HYPOROI	KINGDRA
HYPOTREMPE	HORSEA
INCISACHE	FRAXURE
INSECATEUR	SCYTHER
INSOLOURDO	DUNSPARCE
JIRACHI	JIRACHI
JOLIFLOR	BELLOSSOM
JUDOKRAK	THROH
JUNGKO	SCEPTILE
KABUTO	KABUTO
KABUTOPS	KABUTOPS
KADABRA	KADABRA
KAIMINUS	TOTODILE
KAIMORSE	WALREIN
KANGOUREX	KANGASKHAN
KAORINE	CLAYDOL
KAPOERA	HITMONTOP
KARACLEE	SAWK
KECLEON	KECLEON
KELDEO	KELDEO
KEUNOTOR	BIDOOF
KICKLEE	HITMONLEE
KIRLIA	KIRLIA
KOKIYAS	SHELLDER
KORILLON	CHINGLING
KRABBOSS	KINGLER
KRABBY	KRABBY
KRAKNOIX	TRAPINCH
KRANIDOS	CRANIDOS
KUNGFOUINE	MIENFOO
KYOGRE	KYOGRE
KYUREM	KYUREM
LAGGRON	SWAMPERT
LAINERGIE	FLAAFFY
LAKMECYGNE	SWANNA
LAMANTINE	DEWGONG
LAMPEROIE	EELEKTRIK
LANCARGOT	ESCAVALIER
LANTURN	LANTURN
LAPOREILLE	BUNEARY
LARVEYETTE	SEWADDLE
LATIAS	LATIAS
LATIOS	LATIOS
LEOPARDUS	LIEPARD
LEUPHORIE	BLISSEY
LEVEINARD	CHANSEY
LEVIATOR	GYARADOS
LEWSOR	ELGYEM
LIANAJA	SERVINE
LIBEGON	FLYGON
LILIA	LILEEP
LIMAGMA	SLUGMA
LIMASPEED	ACCELGOR
LIMONDE	STUNFISK
LINEON	LINOONE
LIPPOUTI	SMOOCHUM
LIPPOUTOU	JYNX
LIXY	SHINX
LOCKPIN	LOPUNNY
LOKHLASS	LAPRAS
LOMBRE	LOMBRE
LOUPIO	CHINCHOU
LOVDISC	LUVDISC
LUCARIO	LUCARIO
LUDICOLO	LUDICOLO
LUGIA	LUGIA
LUGULABRE	CHANDELURE
LUMINEON	LUMINEON
LUMIVOLE	ILLUMISE
LUXIO	LUXIO
LUXRAY	LUXRAY
M_MIME	MR
MACHOC	MACHOP
MACHOPEUR	MACHOKE
MACKOGNEUR	MACHAMP
MACRONIUM	BAYLEEF
MAGANON	MAGMORTAR
MAGBY	MAGBY
MAGICARPE	MAGIKARP
MAGIREVE	MISMAGIUS
MAGMAR	MAGMAR
MAGNETI	MAGNEMITE
MAGNETON	MAGNETON
MAGNEZONE	MAGNEZONE
MAJASPIC	SERPERIOR
MAKUHITA	MAKUHITA
MALOSSE	HOUNDOUR
MAMANBO	ALOMOMOLA
MAMMOCHON	MAMOSWINE
MANAPHY	MANAPHY
MANGRIFF	ZANGOOSE
MANTERNEL	LEAVANNY
MANZAI	BONSLY
MARACACHI	MARACTUS
MARAISTE	QUAGSIRE
MARCACRIN	SWINUB
MARILL	MARILL
MASCAIMAN	SANDILE
MASKADRA	MASQUERAIN
MASSKO	GROVYLE
MASTOUFFE	STOUTLAND
MATELOUTRE	DEWOTT
MEDHYENA	POOCHYENA
MEDITIKKA	MEDITITE
MEGANIUM	MEGANIUM
MEGAPAGOS	CARRACOSTA
MEIOS	DUOSION
MELANCOLUX	LAMPENT
MELO	CLEFFA
MELODELFE	CLEFABLE
MELOETTA	MELOETTA
MELOFEE	CLEFAIRY
MELOKRIK	KRICKETUNE
MENTALI	ESPEON
MESMERELLA	GOTHORITA
METALOSSE	METAGROSS
METAMORPH	DITTO
METANG	METANG
MEW	MEW
MEWTWO	MEWTWO
MIAMIASME	TRUBBISH
MIAOUSS	MEOWTH
MIASMAX	GARBODOR
MIGALOS	ARIADOS
MILOBELLUS	MILOTIC
MIME_JR	MIME
MIMIGAL	SPINARAK
MIMITOSS	VENONAT
MINIDRACO	DRATINI
MINOTAUPE	EXCADRILL
MIRADAR	WATCHOG
MOMARTIK	FROSLASS
MONAFLEMIT	SLAKING
MORPHEO	CASTFORM
MOTISMA	ROTOM
MOUFFLAIR	SKUNTANK
MOUFOUETTE	STUNKY
MOUSTILLON	OSHAWOTT
MOYADE	JELLICENT
MUCIOLE	VOLBEAT
MUNJA	SHEDINJA
MUNNA	MUNNA
MUSHANA	MUSHARNA
MUSTEBOUEE	BUIZEL
MUSTEFLOTT	FLOATZEL
MYGAVOLT	GALVANTULA
MYSDIBULE	MAWILE
MYSTHERBE	ODDISH
NANMEOUIE	AUDINO
NATU	NATU
NEGAPI	MINUN
NEITRAM	BEHEEYEM
NENUPIOT	LOTAD
NIDOKING	NIDOKING
NIDOQUEEN	NIDOQUEEN
NIDORAN_F	NIDORAN
NIDORAN_M	NIDORAN
NIDORINA	NIDORINA
NIDORINO	NIDORINO
NINGALE	NINCADA
NINJASK	NINJASK
NIRONDELLE	TAILLOW
NOACIER	FERROTHORN
NOADKOKO	EXEGGUTOR
NOARFANG	NOCTOWL
NOCTALI	UMBREON
NOCTUNOIR	DUSKNOIR
NODULITHE	ROGGENROLA
NOEUNOEUF	EXEGGCUTE
NOSFERALTO	GOLBAT
NOSFERAPTI	ZUBAT
NOSTENFER	CROBAT
NUCLEOS	SOLOSIS
OBALIE	SPHEAL
OCTILLERY	OCTILLERY
OHMASSACRE	EELEKTROSS
OKEOKE	WYNAUT
ONIGLALI	GLALIE
ONIX	ONIX
ORTIDE	GLOOM
OSSATUEUR	MAROWAK
OSSELAIT	CUBONE
OTARIA	SEEL
OUISTICRAM	CHIMCHAR
OUVRIFIER	GURDURR
PACHIRISU	PACHIRISU
PALKIA	PALKIA
PAPILORD	MOTHIM
PAPILUSION	BUTTERFREE
PAPINOX	DUSTOX
PARAS	PARAS
PARASECT	PARASECT
PARECOOL	SLAKOTH
PASHMILLA	CINCCINO
PERSIAN	PERSIAN
PHANPY	PHANPY
PHARAMP	AMPHAROS
PHIONE	PHIONE
PHOGLEUR	SEALEO
PHYLLALI	LEAFEON
PIAFABEC	SPEAROW
PICHU	PICHU
PIFEUIL	NUZLEAF
PIJAKO	CHATOT
PIKACHU	PIKACHU
PINGOLEON	EMPOLEON
POICHIGEON	PIDOVE
POISSIRENE	GOLDEEN
POISSOROY	SEAKING
POLAGRIFFE	BEARTIC
POLARHUME	CUBCHOO
POLICHOMBR	SHUPPET
POMDEPIK	PINECO
PONCHIEN	HERDIER
PONCHIOT	LILLIPUP
PONYTA	PONYTA
PORYGON	PORYGON
PORYGON2	PORYGON2
PORYGON_Z	PORYGON
POSIPI	PLUSLE
POUSSIFEU	TORCHIC
PRINPLOUF	PRINPLUP
PSYKOKWAK	PSYDUCK
PTERA	AERODACTYL
PTIRAVI	HAPPINY
PTITARD	POLIWAG
PYRAX	VOLCARONA
PYROLI	FLAREON
PYRONILLE	LARVESTA
QUEULORIOR	SMEARGLE
QULBUTOKE	WOBBUFFET
QWILFISH	QWILFISH
RACAILLOU	GEODUDE
RAFFLESIA	VILEPLUME
RAICHU	RAICHU
RAIKOU	RAIKOU
RAMBOUM	LOUDRED
RAMOLOSS	SLOWPOKE
RAPASDEPIC	FEAROW
RAPION	SKORUPI
RATENTIF	PATRAT
RATTATA	RATTATA
RATTATAC	RATICATE
RAYQUAZA	RAYQUAZA
REGICE	REGICE
REGIGIGAS	REGIGIGAS
REGIROCK	REGIROCK
REGISTEEL	REGISTEEL
RELICANTH	RELICANTH
REMORAID	REMORAID
REPTINCEL	CHARMELEON
RESHIRAM	RESHIRAM
RHINASTOC	RHYPERIOR
RHINOCORNE	RHYHORN
RHINOFEROS	RHYDON
RHINOLOVE	SWOOBAT
RIOLU	RIOLU
ROIGADA	SLOWKING
ROITIFLAM	EMBOAR
RONDOUDOU	JIGGLYPUFF
RONFLEX	SNORLAX
ROSABYSS	GOREBYSS
ROSELIA	ROSELIA
ROSERADE	ROSERADE
ROTOTAUPE	DRILBUR
ROUCARNAGE	PIDGEOT
ROUCOOL	PIDGEY
ROUCOUPS	PIDGEOTTO
ROZBOUTON	BUDEW
SABELETTE	SANDSHREW
SABLAIREAU	SANDSLASH
SALAMECHE	CHARMANDER
SANCOKI	SHELLOS
SAQUEDENEU	TANGELA
SCALPION	PAWNIARD
SCALPROIE	BISHARP
SCARABRUTE	PINSIR
SCARHINO	HERACROSS
SCOBOLIDE	WHIRLIPEDE
SCORPLANE	GLIGAR
SCORVOL	GLISCOR
SCRUTELLA	GOTHITA
SELEROC	LUNATONE
SERPANG	HUNTAIL
SEVIPER	SEVIPER
SHAOFOUINE	MIENSHAO
SHARPEDO	SHARPEDO
SHAYMIN	SHAYMIN
SIDERELLA	GOTHITELLE
SIMIABRAZ	INFERNAPE
SIMULARBRE	SUDOWOODO
SKELENOX	DUSKULL
SKITTY	SKITTY
SMOGO	KOFFING
SMOGOGO	WEEZING
SNUBBULL	SNUBBULL
SOLAROC	SOLROCK
SOLOCHI	DEINO
SOPORIFIK	DROWZEE
SORBEBE	VANILLITE
SORBOUBOUL	VANILLUXE
SORBOUL	VANILLISH
SPECTRUM	HAUNTER
SPINDA	SPINDA
SPIRITOMB	SPIRITOMB
SPOINK	SPOINK
STALGAMIN	SNORUNT
STARI	STARYU
STAROSS	STARMIE
STATITIK	JOLTIK
STEELIX	STEELIX
SUICUNE	SUICUNE
SULFURA	MOLTRES
SYMBIOS	REUNICLUS
TADMORV	GRIMER
TARINOR	NOSEPASS
TARINORME	PROBOPASS
TARPAUD	POLITOED
TARSAL	RALTS
TARTARD	POLIWRATH
TAUPIQUEUR	DIGLETT
TAUROS	TAUROS
TEDDIURSA	TEDDIURSA
TENEFIX	SABLEYE
TENGALICE	SHIFTRY
TENTACOOL	TENTACOOL
TENTACRUEL	TENTACRUEL
TERACLOPE	DUSCLOPS
TERHAL	BELDUM
TERRAKIUM	TERRAKION
TETARTE	POLIWHIRL
TIC	KLINK
TIPLOUF	PIPLUP
TOGEKISS	TOGEKISS
TOGEPI	TOGEPI
TOGETIC	TOGETIC
TORTANK	BLASTOISE
TORTERRA	TORTERRA
TORTIPOUSS	TURTWIG
TOUDOUDOU	IGGLYBUFF
TOURNEGRIN	SUNKERN
TRANCHODON	HAXORUS
TRIOPIKEUR	DUGTRIO
TRIOXHYDRE	HYDREIGON
TRITONDE	TYMPOLE
TRITOSOR	GASTRODON
TROMPIGNON	FOONGUS
TROPIUS	TROPIUS
TUTAFEH	YAMASK
TUTANKAFER	COFAGRIGUS
TYGNON	HITMONCHAN
TYLTON	SWABLU
TYPHLOSION	TYPHLOSION
TYRANOCIF	TYRANITAR
URSARING	URSARING
VACILYS	CRADILY
VAUTUTRICE	MANDIBUZZ
VENIPATTE	VENIPEDE
VIBRANINF	VIBRAVA
VICTINI	VICTINI
VIGOROTH	VIGOROTH
VIPELIERRE	SNIVY
VIRIDIUM	VIRIZION
VISKUSE	FRILLISH
VIVALDAIM	DEERLING
VOLCAROPOD	MAGCARGO
VOLTALI	JOLTEON
VOLTORBE	VOLTORB
VORTENTE	CARNIVINE
VOSTOURNO	VULLABY
WAILMER	WAILMER
WAILORD	WAILORD
WATTOUAT	MAREEP
XATU	XATU
YANMA	YANMA
YANMEGA	YANMEGA
YMPHECT	PUPITAR
ZARBI	UNOWN
ZEBIBRON	BLITZLE
ZEBLITZ	ZEBSTRIKA
ZEKROM	ZEKROM
ZIGZATON	ZIGZAGOON
ZOROARK	ZOROARK
ZORUA	ZORUA
